country,emmean,SE,df,lower.CL,upper.CL,t.ratio,p.value
Australia,11.908736582418815,0.17673147611489753,69104,11.562343187179675,12.255129977657955,67.38322365777474,0
Austria,9.89733865022801,0.16104127362164472,69104,9.581698025424025,10.212979275031994,61.45839776131626,0
Brazil,11.643151885135063,0.07950689190847036,69104,11.48731851103264,11.798985259237487,146.442045534101,0
Canada,11.979042964402058,0.08967397546862071,69104,11.803282123662107,12.15480380514201,133.58438612542432,0
Chile,11.250219407489276,0.12916560136597266,69104,10.99705504656821,11.503383768410341,87.09919118181746,0
China,10.313018658551425,0.08963690627354708,69104,10.137330473371325,10.488706843731524,115.0532641887365,0
Colombia,10.81459059511894,0.10503562074656525,69104,10.608720955531934,11.020460234705945,102.9611718220134,0
Croatia,10.41016796932603,0.09525465423702568,69104,10.223469007608298,10.596866931043763,109.28776187063809,0
Czech Republic,10.745861429284787,0.11204207109769178,69104,10.52625915882153,10.965463699748044,95.90916451299128,0
France,11.422420152708114,0.10920523869717765,69104,11.208378068967336,11.63646223644889,104.59589932660731,0
Germany,10.15073043098473,0.08144469063979026,69104,9.991098974635793,10.310361887333666,124.63342117510031,0
Hungary,10.31563920821075,0.050915736591265526,69104,10.215844450329117,10.415433966092385,202.60217957802018,0
Ireland,11.687506415602952,0.11207603749378225,69104,11.46783757106062,11.907175260145284,104.28193819978111,0
Israel,9.838412493468525,0.12533569883637657,69104,9.592754735048755,10.084070251888294,78.49649050357463,0
Italy,9.54965675271983,0.09729168030138721,69104,9.358965223350108,9.740348282089553,98.15491646497618,0
Lithuania,10.093749181586983,0.10133786686710534,69104,9.895127133369792,10.292371229804173,99.60491071737225,0
Malaysia,11.124269639047965,0.12919251631270187,69104,10.871052524876685,11.377486753219245,86.10614574703702,0
Mexico,11.246722323097332,0.09959325600331684,69104,11.051519709231982,11.441924936962682,112.9265451741308,0
New Zealand,11.997649710600518,0.08577054179856412,69104,11.829539593273202,12.165759827927834,139.88077327035575,0
North Macedonia,9.263606568163963,0.12911684371241686,69104,9.010537772161669,9.516675364166257,71.74591867190372,0
Peru,10.916255969912434,0.0904743793933663,69104,10.738926338829359,11.09358560099551,120.6557706513854,0
Poland,10.38021987036397,0.05537258075098118,69104,10.271689705442945,10.488750035284994,187.4613704036187,0
Portugal,10.940241154172359,0.09745879411466932,69104,10.749222082010336,11.131260226334382,112.25504330886908,0
Slovakia,10.894540256105577,0.1367813049697842,69104,10.626449128960118,11.162631383251036,79.64933700926633,0
South Africa,11.474409429562643,0.10534283901279605,69104,11.267937642691756,11.68088121643353,108.92443698207944,0
South Korea,8.706748926818879,0.11809123025799727,69104,8.47529031459951,8.938207539038247,73.72900517504134,0
Spain,10.295769182963696,0.09571424171177843,69104,10.108169430570252,10.48336893535714,107.56778718434663,0
Switzerland,10.643045896422523,0.1299741187976369,69104,10.38829684269845,10.897794950146595,81.88588616625441,0
Taiwan,9.807480290078377,0.08645755164568035,69104,9.638023634608922,9.976936945547832,113.4369422149648,0
Turkey,11.006213301209435,0.16198368248714384,69104,10.68872555661785,11.32370104580102,67.9464322098182,0
United Kingdom,11.523129608261602,0.12034802049913766,69104,11.287247690974251,11.759011525548953,95.7483933717395,0
United States of America,12.040979092494341,0.0927936169626975,69104,11.859103759685306,12.222854425303376,129.76085518182512,0
