country,n,m,m_adj,min,max
Australia,564,10.36 (5.20),"NA [ 9.93, 10.79]",0,24
Austria,682, 9.12 (4.02),"NA [ 8.82,  9.42]",0,24
Brazil,3222, 9.80 (4.58),"NA [ 9.65,  9.96]",0,24
Canada,2275,11.15 (4.88),"NA [10.95, 11.35]",0,24
Chile,1083,11.01 (4.09),"NA [10.76, 11.25]",0,23
China,2339,10.10 (3.98),"NA [ 9.94, 10.26]",0,24
Colombia,1707,10.76 (4.03),"NA [10.56, 10.95]",0,24
Croatia,2096,10.04 (4.29),"NA [ 9.86, 10.23]",0,24
Czech Republic,1518, 8.38 (3.91),"NA [ 8.18,  8.58]",0,22
France,1525,10.69 (4.51),"NA [10.47, 10.92]",0,24
Germany,3009, 8.39 (3.85),"NA [ 8.25,  8.53]",0,22
Hungary,9885, 9.16 (4.21),"NA [ 9.08,  9.24]",0,24
Ireland,1448,10.87 (4.70),"NA [10.62, 11.11]",0,24
Israel,1159, 8.57 (4.57),"NA [ 8.30,  8.83]",0,24
Italy,2013, 9.32 (4.37),"NA [ 9.13,  9.51]",0,24
Lithuania,1813, 9.18 (4.13),"NA [ 8.99,  9.37]",0,24
Malaysia,1081,11.04 (4.20),"NA [10.79, 11.29]",0,24
Mexico,1854,10.64 (4.51),"NA [10.44, 10.85]",0,24
New Zealand,2522,10.90 (4.74),"NA [10.71, 11.08]",0,24
North Macedonia,1089, 8.79 (4.28),"NA [ 8.53,  9.04]",0,23
Peru,2321,10.22 (4.13),"NA [10.06, 10.39]",0,24
Poland,8230,10.23 (4.29),"NA [10.13, 10.32]",0,24
Portugal,1997,10.40 (4.08),"NA [10.22, 10.58]",0,24
Slovakia,966,10.60 (3.98),"NA [10.35, 10.85]",1,24
South Africa,1644,11.00 (4.69),"NA [10.78, 11.23]",0,24
South Korea,1317, 8.68 (4.96),"NA [ 8.42,  8.95]",0,24
Spain,2091,10.40 (3.99),"NA [10.23, 10.57]",0,24
Switzerland,1066,10.27 (4.42),"NA [10.00, 10.53]",0,24
Taiwan,2604, 9.21 (3.96),"NA [ 9.06,  9.36]",0,24
Turkey,673,10.61 (4.56),"NA [10.27, 10.96]",0,24
United Kingdom,1243,10.68 (4.84),"NA [10.41, 10.95]",0,24
United States of America,2103,11.55 (5.04),"NA [11.34, 11.77]",0,24
