var,comp,mi,chisq,df,rmsea,cfi,tli,inv
country,m2-m1,none,2643.6007652784,155,-0.00358167388023695,-0.0241802685795409,0.00685881268041266,No
country,m2a-m1,ASRS=~ASRS6,1101.19016600269,124,-0.00935748710499348,-0.00949478156436556,0.0173749786349188,Yes
country,m3-m2,none,10744.1177918992,155,0.0277410285121848,-0.102888223696208,-0.0598737130502359,No
country,m3a-m2,ASRS5~1,6583.70155378739,124,0.0166027893607766,-0.0627651171266852,-0.0339713626890619,No
country,m3b-m2,ASRS4~1,4831.52188039953,93,0.0129531260838752,-0.0460414275108825,-0.0260275466849635,No
country,m3c-m2,ASRS3~1,2507.34588785777,62,0.00609488835811796,-0.0237599864000935,-0.0118258350178009,No
country,m3d-m2,ASRS2~1,1710.37980235523,31,0.00557773249164351,-0.016317544876855,-0.0107933505208073,No
country,m3e-m2,ASRS6~1,3.97978692490142e-6,0,2.22997315058038e-11,-3.86692899922991e-11,-4.18989287709337e-11,Yes
country,m4-m3,none,2787.23638618605,186,-0.00829110719327089,-0.0252746825985231,0.0195190093676263,No
country,m4a-m3,ASRS1~~ASRS1,2254.12669291875,155,-0.00734435503286608,-0.0203959783045315,0.0173601897832004,No
country,m4b-m3,ASRS5~~ASRS5,1609.2888565098,124,-0.00663797454171849,-0.0144316774187716,0.0157377130655535,No
country,m4c-m3,ASRS4~~ASRS4,1169.02424116991,93,-0.00527937297356929,-0.0104550940884542,0.0125889006270578,No
country,m4d-m3,ASRS6~~ASRS6,670.803089813282,62,-0.00398477789002152,-0.00591538121708024,0.00955383941359311,Yes
country,m5-m4,none,4470.24013429022,31,0.00870751108401076,-0.0431334829731945,-0.0205358314342882,No
country,m6-m5,none,7130.06467545682,31,0.0130710680995018,-0.0689774321824072,-0.0336940750176169,No
gender,m2-m1,none,120.801361525291,10,-0.0129266221618486,-0.00115814059018993,0.0245864922855805,Yes
gender,m3-m2,none,1188.77309948981,10,-0.00197433461877944,-0.0123210126152775,0.00343629894854725,No
gender,m3a-m2,ASRS3~1,553.981343035039,8,-0.00408786331000031,-0.0057068175530578,0.00702121121617261,Yes
gender,m4-m3,none,184.818372038119,12,-0.00762969044613544,-0.00180636743657869,0.0124850816931262,Yes
gender,m5-m4,none,457.644788267438,2,0.00107834826652409,-0.00476258339010149,-0.00168801131449292,Yes
gender,m6-m5,none,3760.7473883753,2,0.0150772765497107,-0.0392879460940005,-0.0262418093528657,No
language,m2-m1,none,2698.94476097666,95,-0.0028555225036361,-0.0253698731686554,0.00554656350384175,No
language,m2a-m1,ASRS=~ASRS6,1122.56224913898,76,-0.00882068806175387,-0.0101965110480302,0.0166017977223181,No
language,m2b-m1,ASRS=~ASRS5,630.538598310852,57,-0.00851708291260869,-0.00558790713018709,0.01605648949129,Yes
language,m3-m2,none,10609.1189367761,95,0.0273083655547058,-0.102437604631106,-0.0597890216433611,No
language,m3a-m2,ASRS5~1,6622.20794702826,76,0.016751459977602,-0.0637787974002412,-0.0348893575927119,No
language,m3b-m2,ASRS4~1,4837.0970256761,57,0.012972700619154,-0.046571823293895,-0.0265239185523966,No
language,m3c-m2,ASRS3~1,2440.92972725756,38,0.00579915048203956,-0.0234114115350321,-0.0114366968306532,No
language,m3d-m2,ASRS2~1,1673.60441967037,19,0.00538275894530045,-0.0161205817037338,-0.0105928769893283,No
language,m3e-m2,ASRS6~1,1.77661968336906e-6,0,9.86799530977578e-12,-1.73092651323259e-11,-1.8883006269732e-11,Yes
language,m4-m3,none,2798.24321049665,114,-0.00806184763325662,-0.0261522098412649,0.0192179701911351,No
language,m4a-m3,ASRS5~~ASRS5,2075.86624314887,95,-0.00765453872132023,-0.0192993054637259,0.0182785135447088,No
language,m4b-m3,ASRS1~~ASRS1,1527.8854255065,76,-0.00672247837571543,-0.014145518619490101,0.0161161093364998,No
language,m4c-m3,ASRS4~~ASRS4,1103.34478965952,57,-0.00535692861638855,-0.0101943923704391,0.0129163057407792,No
language,m4d-m3,ASRS6~~ASRS6,636.28151300679,38,-0.00400994843710825,-0.00582897392125958,0.00972310783966934,Yes
language,m5-m4,none,4250.37896385921,19,0.00822976473043371,-0.0412257392132084,-0.0196322129425698,No
language,m6-m5,none,7674.36772838225,19,0.0143028748318165,-0.0745851875350957,-0.0373751447524329,No
