var,model,mi,chisq,df,rmsea,cfi,tli
country,m1 configural,none,6122.48505990107,288,0.0968543188524137,0.943309743475087,0.905516239125145
country,m2 metric,none,8766.08582517947,443,0.0932726449721767,0.919129474895546,0.912375051805558
country,m2a partial metric,ASRS=~ASRS6,7223.67522590376,412,0.0874968317474202,0.933814961910722,0.922891217760064
country,m3 scalar,none,19510.2036170786,598,0.121013673484362,0.816241251199339,0.852501338755322
country,m3a partial scalar,ASRS5~1,15349.7873789669,567,0.109875434332953,0.856364357768861,0.878403689116496
country,m3b partial scalar,ASRS4~1,13597.607705579,536,0.106225771056052,0.873088047384664,0.886347505120594
country,m3c partial scalar,ASRS3~1,11273.4317130372,505,0.0993675333302947,0.895369488495453,0.900549216787757
country,m3d partial scalar,ASRS2~1,10476.4656275347,474,0.0988503774638202,0.902811930018691,0.901581701284751
country,m3e partial scalar,ASRS6~1,8766.08582915926,443,0.0932726449944765,0.919129474856877,0.912375051763659
country,m4 residual,none,22297.4400032647,784,0.112722566291091,0.790966568600816,0.872020348122948
country,m4a partial residual,ASRS1~~ASRS1,21764.3303099974,753,0.113669318451495,0.795845272894807,0.869861528538522
country,m4b partial residual,ASRS5~~ASRS5,21119.4924735884,722,0.114375698942643,0.801809573780567,0.868239051820876
country,m4c partial residual,ASRS4~~ASRS4,20679.2278582485,691,0.115734300510792,0.805786157110884,0.86509023938238
country,m4d partial residual,ASRS6~~ASRS6,20181.0067068919,660,0.11702889559434,0.810325869982258,0.862055178168915
country,m5 varcov,none,26767.6801375549,815,0.121430077375101,0.747833085627621,0.85148451668866
country,m6 means,none,33897.7448130117,846,0.134501145474603,0.678855653445214,0.817790441671043
gender,m1 configural,none,5548.12152170037,27,0.0941976945843276,0.942291007532499,0.903818345887498
gender,m2 metric,none,5668.92288322566,37,0.081271072422479,0.941132866942309,0.928404838173079
gender,m3 scalar,none,6857.69598271547,47,0.0792967378036996,0.928811854327031,0.931841137121626
gender,m3a partial scalar,ASRS3~1,6222.9042262607,45,0.0771832091124787,0.935426049389251,0.935426049389251
gender,m4 residual,none,7042.51435475359,59,0.0716670473575642,0.927005486890453,0.944326218814752
gender,m5 varcov,none,7500.15914302103,61,0.0727453956240882,0.922242903500351,0.942638207500259
gender,m6 means,none,11260.9065313963,63,0.087822672173799,0.882954957406351,0.916396398147393
language,m1 configural,none,6102.56580729813,180,0.0975741933552274,0.942297261594823,0.903828769324705
language,m2 metric,none,8801.51056827479,275,0.0947186708515913,0.916927388426168,0.909375332828546
language,m2a partial metric,ASRS=~ASRS6,7225.12805643712,256,0.0887535052934736,0.932100750546793,0.920430567047023
language,m2b partial metric,ASRS=~ASRS5,6733.10440560898,237,0.0890571104426188,0.936709354464636,0.919885258815995
language,m3 scalar,none,19410.6295050509,370,0.122027036406297,0.814489783795062,0.849586311185185
language,m3a partial scalar,ASRS5~1,15423.7185153031,351,0.111470130829193,0.853148591025926,0.874485975235834
language,m3b partial scalar,ASRS4~1,13638.6075939509,332,0.107691371470745,0.870355565132273,0.88285141427615
language,m3c partial scalar,ASRS3~1,11242.4402955324,313,0.100517821333631,0.893515976891135,0.897938635997893
language,m3d partial scalar,ASRS2~1,10475.1149879452,294,0.100101429796892,0.900806806722434,0.898782455839218
language,m3e partial scalar,ASRS6~1,8801.51057005141,275,0.0947186708614593,0.916927388408858,0.909375332809663
language,m4 residual,none,22208.8727155475,484,0.11396518877304,0.788337573953797,0.86880428137632
language,m4a partial residual,ASRS5~~ASRS5,21486.4957481998,465,0.114372497684977,0.795190478331336,0.867864824729894
language,m4b partial residual,ASRS1~~ASRS1,20938.5149305574,446,0.115304558030582,0.800344265175572,0.865702420521685
language,m4c partial residual,ASRS4~~ASRS4,20513.9742947104,427,0.116670107789909,0.804295391424623,0.862502616925965
language,m4d partial residual,ASRS6~~ASRS6,20046.9110180577,408,0.118017087969189,0.808660809873802,0.859309419024855
language,m5 varcov,none,26459.2516794068,503,0.122194953503474,0.747111834740589,0.849172068433751
language,m6 means,none,34133.619407789,522,0.136497828335291,0.672526647205493,0.811796923681318
