var,group,chisq,df,rmsea,cfi,tli
country,Australia,57.5428789557446,9,0.0978785017072513,0.970891103671623,0.951485172786039
country,Austria,53.9031921413111,9,0.0855940935840263,0.932783824322372,0.887973040537287
country,Brazil,398.802339432361,9,0.115959304930171,0.934621214080269,0.891035356800449
country,Canada,195.399808149717,9,0.095434685273311,0.959566805207857,0.932611342013094
country,Chile,58.0004414059667,9,0.0709357412054188,0.965887475934419,0.943145793224032
country,China,128.621909030139,9,0.0753983524970476,0.944357022820441,0.907261704700735
country,Colombia,56.3884296971826,9,0.0555552863921214,0.980046608664463,0.966744347774106
country,Croatia,111.943588441723,9,0.0738901219124784,0.963614661728606,0.939357769547677
country,Czech Republic,120.328276964372,9,0.0903001971803426,0.945362486632237,0.908937477720394
country,France,102.951646319286,9,0.0827634258254583,0.956265204919283,0.927108674865472
country,Germany,266.010109232061,9,0.0974349871961181,0.923512915134701,0.872521525224502
country,Hungary,1225.4618615991,9,0.116939605844519,0.888632192502335,0.814386987503892
country,Ireland,176.060816616399,9,0.113261361965544,0.939220677911016,0.898701129851693
country,Israel,119.280869012477,9,0.102866640237799,0.939264573360751,0.898774288934585
country,Italy,178.25493745164,9,0.0966797303424669,0.93959287307425,0.89932145512375
country,Lithuania,126.422806339594,9,0.0848546949240267,0.956205959841675,0.927009933069459
country,Malaysia,78.1507868383924,9,0.0843461823754703,0.947934613497169,0.913224355828616
country,Mexico,111.575860776678,9,0.0784266420862422,0.967888348738652,0.946480581231087
country,New Zealand,221.458993341304,9,0.0967675804360286,0.961256100535069,0.935426834225115
country,North Macedonia,73.1963504227521,9,0.0809691289253185,0.956210516928939,0.927017528214899
country,Peru,135.111136234777,9,0.0777161847701544,0.963553435078292,0.939255725130486
country,Poland,933.313449990819,9,0.111715864457751,0.92488475822271,0.874807930371184
country,Portugal,126.304342238932,9,0.0808082164005527,0.95547846005088,0.925797433418133
country,Slovakia,64.5806495573655,9,0.0799975888794439,0.935640142416425,0.892733570694042
country,South Africa,127.190475950902,9,0.0894028172281827,0.959446513353366,0.932410855588943
country,South Korea,41.6807205159605,9,0.0525286950704613,0.987641112835047,0.979401854725078
country,Spain,122.525827065736,9,0.077687820826844,0.942350497772155,0.903917496286926
country,Switzerland,115.212208932858,9,0.105266737199615,0.926735487760154,0.877892479600257
country,Taiwan,209.688640349664,9,0.0925556758788527,0.953848128098907,0.923080213498178
country,Turkey,62.2244216740438,9,0.0938100968526414,0.953542995686049,0.922571659476749
country,United Kingdom,138.780907666021,9,0.10775150652888,0.951112939621229,0.918521566035381
country,United States of America,186.116344128529,9,0.0967590752597805,0.963415302704893,0.939025504508154
gender,Gender diverse individual,150.007334667935,9,0.083446540783827,0.966100945140756,0.943501575234594
gender,Man,2152.11995056608,9,0.0938700758464791,0.943560100238477,0.905933500397462
gender,Woman,3245.99423636974,9,0.0949883110965649,0.939541122450581,0.899235204084301
language,Croatian,121.549431220485,9,0.0763548712741205,0.960531515421049,0.934219192368414
language,Czech,118.091242534854,9,0.0908370018535669,0.944453995008065,0.907423325013442
language,English,1009.31071516688,9,0.0979021213887449,0.958880686212193,0.931467810353655
language,French,277.986132280664,9,0.0925535765164786,0.947962888344184,0.913271480573641
language,German,285.541593903493,9,0.0978072859390814,0.919999614290512,0.86666602381752
language,Hebrew,120.393142919649,9,0.104151409537473,0.936327810592359,0.893879684320598
language,Hungarian,1231.06426828679,9,0.119692631735824,0.880995152372733,0.801658587287889
language,Italian,179.214252574552,9,0.0965701110917099,0.941162388359298,0.901937313932163
language,Korean,44.2204519165347,9,0.055057068809869,0.986356569015267,0.977260948358778
language,Lithuanian,133.798600243025,9,0.0866463264634589,0.953791920912486,0.922986534854143
language,Macedonian,79.0725078494597,9,0.0837135089463103,0.953267076475867,0.922111794126445
language,Mandarin - Simplified,130.233264244368,9,0.0752950500903313,0.944113167798907,0.906855279664845
language,Mandarin - Traditional,213.073826669224,9,0.0932435083636433,0.953187986789082,0.921979977981803
language,Polish,977.373161702715,9,0.112423939839985,0.923288391197466,0.872147318662443
language,Portuguese - Brazil,406.85525155443,9,0.116198883522819,0.935404702849073,0.892341171415122
language,Portuguese - Portugal,128.409646032132,9,0.0817557289622165,0.952632597766281,0.921054329610469
language,Slovakian,120.151995411122,9,0.0822182262861018,0.940794428633729,0.901324047722882
language,Spanish - Latin America,345.429699830682,9,0.0731495432447819,0.967483329882626,0.945805549804376
language,Spanish - Spain,111.794766234662,9,0.0747521694399471,0.945956810664646,0.909928017774409
language,Turkish,69.0018422085856,9,0.0976612884541848,0.950791524072787,0.917985873454645
NA,NA,NA,NA,NA,NA,NA
